regulator,TF_id,gene_name,gene_id,effect,evidence,source
GadE,b3512,gltF,b3214,+,1,RegulonDB_TF
GadE,b3512,gltD,b3213,+,1,RegulonDB_TF
GadE,b3512,gltB,b3212,+,1,RegulonDB_TF
GadE,b3512,gadX,b3516,+,1,RegulonDB_TF
GadE,b3512,gadW,b3515,+,1,RegulonDB_TF
GadE,b3512,gadF,b4718,+,1,RegulonDB_TF
GadE,b3512,gadE,b3512,+,1,RegulonDB_TF
GadE,b3512,gadC,b1492,+,1,RegulonDB_TF
GadE,b3512,gadB,b1493,+,1,RegulonDB_TF
Fur,b0683,yjjZ,b4567,-,1,RegulonDB_TF
Fur,b0683,ybdZ,b4511,-,1,RegulonDB_TF
Fur,b0683,gspD,b3325,-,1,RegulonDB_TF
Fur,b0683,gspC,b3324,-,1,RegulonDB_TF
Fis,b3261,nuoH,b2282,+,1,RegulonDB_TF
Fur,b0683,garR,b3125,-,1,RegulonDB_TF
Fur,b0683,exbD,b3005,-,1,RegulonDB_TF
Fur,b0683,exbB,b3006,-,1,RegulonDB_TF
Fur,b0683,gpmA,b0755,-,1,RegulonDB_TF
Fur,b0683,entH,b0597,-,1,RegulonDB_TF
Fur,b0683,entF,b0586,-,1,RegulonDB_TF
Fur,b0683,entE,b0594,-,1,RegulonDB_TF
Fur,b0683,entD,b0583,-,1,RegulonDB_TF
Fur,b0683,entC,b0593,-,1,RegulonDB_TF
Fur,b0683,entB,b0595,-,1,RegulonDB_TF
Fur,b0683,entA,b0596,-,1,RegulonDB_TF
Fur,b0683,cirA,b2155,-,1,RegulonDB_TF
Fnr,b1334,ynfH,b1590,+,1,RegulonDB_TF
Fnr,b1334,ynfG,b1589,+,1,RegulonDB_TF
Fur,b0683,fecA,b4291,-,1,RegulonDB_TF
Fnr,b1334,ynfF,b1588,+,1,RegulonDB_TF
Fnr,b1334,ydhY,b1674,+,1,RegulonDB_TF
Fnr,b1334,ydhX,b1671,+,1,RegulonDB_TF
Fnr,b1334,ydhW,b1672,+,1,RegulonDB_TF
Fnr,b1334,ydhV,b1673,+,1,RegulonDB_TF
Fnr,b1334,ydhU,b1670,+,1,RegulonDB_TF
Fnr,b1334,ydhT,b1669,+,1,RegulonDB_TF
Fnr,b1334,viaA,b3745,+,1,RegulonDB_TF
Fnr,b1334,ravA,b3746,+,1,RegulonDB_TF
Fnr,b1334,purN,b2500,-,1,RegulonDB_TF
Fnr,b1334,purM,b2499,-,1,RegulonDB_TF
Fnr,b1334,prmC,b1212,-,1,RegulonDB_TF
Fnr,b1334,prfA,b1211,-,1,RegulonDB_TF
Fnr,b1334,poxB,b0871,+,1,RegulonDB_TF
Fnr,b1334,ynfE,b1587,+,1,RegulonDB_TF
Fur,b0683,fecB,b4290,-,1,RegulonDB_TF
Fur,b0683,entS,b0591,?,1,RegulonDB_TF
Fur,b0683,fhuC,b0151,-,1,RegulonDB_TF
Fur,b0683,fhuA,b0150,-,1,RegulonDB_TF
Fur,b0683,fes,b0585,-,1,RegulonDB_TF
Fur,b0683,fhuD,b0152,-,1,RegulonDB_TF
Fur,b0683,fhuF,b4367,-,1,RegulonDB_TF
Fur,b0683,ftnA,b1905,+,1,RegulonDB_TF
Fur,b0683,garL,b3126,-,1,RegulonDB_TF
Fur,b0683,fur,b0683,-,1,RegulonDB_TF
Fur,b0683,fepG,b0589,-,1,RegulonDB_TF
Fur,b0683,fepE,b0587,-,1,RegulonDB_TF
Fur,b0683,fhuB,b0153,-,1,RegulonDB_TF
Fur,b0683,fepD,b0590,-,1,RegulonDB_TF
Fur,b0683,fepB,b0592,-,1,RegulonDB_TF
Fur,b0683,fepA,b0584,-,1,RegulonDB_TF
Fur,b0683,fecR,b4292,-,1,RegulonDB_TF
Fur,b0683,garK,b3124,-,1,RegulonDB_TF
Fur,b0683,fecI,b4293,-,1,RegulonDB_TF
Fur,b0683,garP,b3127,-,1,RegulonDB_TF
Fur,b0683,fecE,b4287,-,1,RegulonDB_TF
Fur,b0683,fecD,b4288,-,1,RegulonDB_TF
Fur,b0683,fepC,b0588,-,1,RegulonDB_TF
Fur,b0683,fecC,b4289,-,1,RegulonDB_TF
TorR,b0995,torA,b0997,+,2,RegulonDB_TF
LacI,b0345,lacA,b0342,-,2,RegulonDB_TF
KdpE,b0694,kdpF,b4513,+,2,RegulonDB_TF
TorR,b0995,torD,b0998,+,2,RegulonDB_TF
TorR,b0995,torR,b0995,-,2,RegulonDB_TF
KdpE,b0694,kdpC,b0696,+,2,RegulonDB_TF
KdpE,b0694,kdpB,b0697,+,2,RegulonDB_TF
KdpE,b0694,kdpA,b0698,+,2,RegulonDB_TF
MarR,b1530,marR,b1530,-,2,RegulonDB_TF
TorR,b0995,torC,b0996,+,2,RegulonDB_TF
LacI,b0345,lacY,b0343,-,2,RegulonDB_TF
NanR,b3226,nanS,b4309,-,2,RegulonDB_TF
MarR,b1530,marA,b1531,-,2,RegulonDB_TF
PyrR,b2381,yhjX,b3547,+,2,RegulonDB_TF
UlaR,b4191,ulaA,b4193,-,2,RegulonDB_TF
UlaR,b4191,ulaB,b4194,-,2,RegulonDB_TF
UlaR,b4191,ulaC,b4195,-,2,RegulonDB_TF
UlaR,b4191,ulaD,b4196,-,2,RegulonDB_TF
UlaR,b4191,ulaE,b4197,-,2,RegulonDB_TF
UlaR,b4191,ulaF,b4198,-,2,RegulonDB_TF
NanR,b3226,fimB,b4312,+,2,RegulonDB_TF
NanR,b3226,nanC,b4311,-,2,RegulonDB_TF
NanR,b3226,nanM,b4310,-,2,RegulonDB_TF
LacI,b0345,lacZ,b0344,-,2,RegulonDB_TF
MarR,b1530,marB,b1532,-,2,RegulonDB_TF
RpsA,b0911,rpsA,b0911,,,Ecocyc
RpsO,b3165,rpsO,b3165,,,Ecocyc
RpsB,b0169,tsf,b0170,,,Ecocyc
RpsB,b0169,rpsB,b0169,,,Ecocyc
RpsB,b0169,tff,b4414,,,Ecocyc
RpsD,b3296,rplQ,b3294,,,Ecocyc
RpsD,b3296,rpsK,b3297,,,Ecocyc
RpsD,b3296,rpsD,b3296,,,Ecocyc
RpsD,b3296,rpsM,b3298,,,Ecocyc
RpsG,b3341,fusA,b3340,,,Ecocyc
RpsG,b3341,tufA,b3339,,,Ecocyc
RpsG,b3341,rpsG,b3341,,,Ecocyc
RpsG,b3341,rpsL,b3342,,,Ecocyc
RpsH,b3306,secY,b3300,,,Ecocyc
RpsH,b3306,rplN,b3310,,,Ecocyc
RpsH,b3306,rpsE,b3303,,,Ecocyc
RpsH,b3306,rplE,b3308,,,Ecocyc
RpsH,b3306,rplX,b3309,,,Ecocyc
RpsH,b3306,rpsH,b3306,,,Ecocyc
RpsH,b3306,rpmJ,b3299,,,Ecocyc
RpsH,b3306,rpsN,b3307,,,Ecocyc
RpsH,b3306,rplO,b3301,,,Ecocyc
RpsH,b3306,rplR,b3304,,,Ecocyc
RpsH,b3306,rplF,b3305,,,Ecocyc
RpsH,b3306,rpmD,b3302,,,Ecocyc
RplA,b3984,rplJ,b3985,,,Ecocyc
RplA,b3984,rplA,b3984,,,Ecocyc
RplA,b3984,rplL,b3986,,,Ecocyc
RplA,b3984,rplK,b3983,,,Ecocyc
RplA,b3984,rpoC,b3988,,,Ecocyc
RplA,b3984,rpoB,b3987,,,Ecocyc
RplM,b3231,rplM,b3231,,,Ecocyc
RplM,b3231,rpsI,b3230,,,Ecocyc
RplT,b1716,rplT,b1716,,,Ecocyc
RplT,b1716,rpmI,b1717,,,Ecocyc
RplY,b2185,rplY,b2185,,,Ecocyc
RpmE,b3936,rpmE,b3936,,,Ecocyc
RplD,b3319,tnaA,b3708,,,Ecocyc
